Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      5.30     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::deallocate(unsigned char*, unsigned long)
  0.00      5.30     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::allocate(unsigned long, void const*)
  0.00      5.30     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::new_allocator(__gnu_cxx::new_allocator<unsigned char> const&)
  0.00      5.30     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::new_allocator()
  0.00      5.30     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::max_size() const
  0.00      5.30     0.00        2     0.00     0.00  std::allocator<unsigned char>::allocator(std::allocator<unsigned char> const&)
  0.00      5.30     0.00        2     0.00     0.00  std::allocator<unsigned char>::allocator()
  0.00      5.30     0.00        2     0.00     0.00  void std::_Destroy_aux<true>::__destroy<unsigned char*>(unsigned char*, unsigned char*)
  0.00      5.30     0.00        2     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_M_allocate(unsigned long)
  0.00      5.30     0.00        2     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_Vector_impl::_Vector_impl(std::allocator<unsigned char> const&)
  0.00      5.30     0.00        2     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_Vector_impl::~_Vector_impl()
  0.00      5.30     0.00        2     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_M_deallocate(unsigned char*, unsigned long)
  0.00      5.30     0.00        2     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_M_create_storage(unsigned long)
  0.00      5.30     0.00        2     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_Vector_base(unsigned long, std::allocator<unsigned char> const&)
  0.00      5.30     0.00        2     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::~_Vector_base()
  0.00      5.30     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<unsigned char> >::deallocate(std::allocator<unsigned char>&, unsigned char*, unsigned long)
  0.00      5.30     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<unsigned char> >::allocate(std::allocator<unsigned char>&, unsigned long)
  0.00      5.30     0.00        2     0.00     0.00  unsigned char* std::__uninitialized_default_n_1<true>::__uninit_default_n<unsigned char*, unsigned long>(unsigned char*, unsigned long)
  0.00      5.30     0.00        2     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::_M_default_initialize(unsigned long)
  0.00      5.30     0.00        2     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::vector(unsigned long, std::allocator<unsigned char> const&)
  0.00      5.30     0.00        2     0.00     0.00  __gnu_cxx::__enable_if<std::__is_byte<unsigned char>::__value, unsigned char*>::__type std::__fill_n_a<unsigned long, unsigned char>(unsigned char*, unsigned long, unsigned char const&)
  0.00      5.30     0.00        2     0.00     0.00  unsigned char* std::__niter_base<unsigned char*>(unsigned char*)
  0.00      5.30     0.00        2     0.00     0.00  unsigned char* std::__uninitialized_default_n<unsigned char*, unsigned long>(unsigned char*, unsigned long)
  0.00      5.30     0.00        2     0.00     0.00  unsigned char* std::__uninitialized_default_n_a<unsigned char*, unsigned long, unsigned char>(unsigned char*, unsigned long, std::allocator<unsigned char>&)
  0.00      5.30     0.00        2     0.00     0.00  unsigned char* std::fill_n<unsigned char*, unsigned long, unsigned char>(unsigned char*, unsigned long, unsigned char const&)
  0.00      5.30     0.00        2     0.00     0.00  void std::_Destroy<unsigned char*>(unsigned char*, unsigned char*)
  0.00      5.30     0.00        2     0.00     0.00  void std::_Destroy<unsigned char*, unsigned char>(unsigned char*, unsigned char*, std::allocator<unsigned char>&)
  0.00      5.30     0.00        2     0.00     0.00  __gnu_cxx::__enable_if<std::__is_byte<unsigned char>::__value, void>::__type std::__fill_a<unsigned char>(unsigned char*, unsigned char*, unsigned char const&)
  0.00      5.30     0.00        1     0.00     0.00  _GLOBAL__sub_I_buffer4
  0.00      5.30     0.00        1     0.00     0.03  scaleAndDenormalize(std::vector<double, std::allocator<double> >&, std::vector<short, std::allocator<short> >&)
  0.00      5.30     0.00        1     0.00     0.01  splitRealAndImaginary(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, int)
  0.00      5.30     0.00        1     0.00     0.14  combineRealAndImaginary(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&)
  0.00      5.30     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      5.30     0.00        1     0.00     0.00  __gnu_cxx::__promote_2<double, int, __gnu_cxx::__promote<double, std::__is_integer<double>::__value>::__type, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type>::__type std::pow<double, int>(double, int)
  0.00      5.30     0.00        1     0.00     0.00  __gnu_cxx::__enable_if<std::__is_integer<unsigned long>::__value, double>::__type std::log2<unsigned long>(unsigned long)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2016 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.19% of 5.30 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]    100.0    0.00    5.30                 main [1]
                4.21    0.69       3/3           fft(std::vector<double, std::allocator<double> >&, int, int) [2]
                0.00    0.14       1/1           combineRealAndImaginary(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&) [5]
                0.02    0.10       1/1           complexMultiplication(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, int) [6]
                0.00    0.05       2/2           normalize(std::vector<short, std::allocator<short> >&, std::vector<double, std::allocator<double> >&, int) [10]
                0.00    0.03       1/1           scaleAndDenormalize(std::vector<double, std::allocator<double> >&, std::vector<short, std::allocator<short> >&) [11]
                0.00    0.02       2/2           parseFile(char*, WAV*, std::vector<short, std::allocator<short> >&, int&) [15]
                0.01    0.01       1/1           writeWAV(char*, std::vector<short, std::allocator<short> > const&, WAV&, int) [16]
                0.01    0.00       1/1           afterFFTScale(std::vector<double, std::allocator<double> >&, int) [20]
                0.00    0.01       1/1           splitRealAndImaginary(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, int) [30]
                0.00    0.00       3/3           std::vector<short, std::allocator<short> >::~vector() [37]
                0.00    0.00       7/2318796     std::vector<double, std::allocator<double> >::size() const [50]
                0.00    0.00       6/6           std::vector<double, std::allocator<double> >::vector() [141]
                0.00    0.00       6/6           std::vector<double, std::allocator<double> >::~vector() [142]
                0.00    0.00       3/3           std::vector<short, std::allocator<short> >::vector() [153]
-----------------------------------------------
                4.21    0.69       3/3           main [1]
[2]     92.4    4.21    0.69       3         fft(std::vector<double, std::allocator<double> >&, int, int) [2]
                0.69    0.00 685744128/718415314     std::vector<double, std::allocator<double> >::operator[](unsigned long) [3]
-----------------------------------------------
                0.00    0.00 1876069/718415314     splitRealAndImaginary(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, int) [30]
