Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    764.20     0.00        1     0.00     0.01  std::vector<double, std::allocator<double> >::vector(unsigned long, std::allocator<double> const&)
  0.00    764.20     0.00        1     0.00     0.00  std::vector<short, std::allocator<short> >::_M_default_initialize(unsigned long)
  0.00    764.20     0.00        1     0.00     0.00  std::vector<short, std::allocator<short> >::vector(unsigned long, std::allocator<short> const&)
  0.00    764.20     0.00        1     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<short>::__value, short*>::__type std::__fill_n_a<short*, unsigned long, short>(short*, unsigned long, short const&)
  0.00    764.20     0.00        1     0.00     0.01  double* std::__uninitialized_default_n<double*, unsigned long>(double*, unsigned long)
  0.00    764.20     0.00        1     0.00     0.00  short* std::__uninitialized_default_n<short*, unsigned long>(short*, unsigned long)
  0.00    764.20     0.00        1     0.00     0.01  double* std::__uninitialized_default_n_a<double*, unsigned long, double>(double*, unsigned long, std::allocator<double>&)
  0.00    764.20     0.00        1     0.00     0.00  short* std::__uninitialized_default_n_a<short*, unsigned long, short>(short*, unsigned long, std::allocator<short>&)
  0.00    764.20     0.00        1     0.00     0.01  double* std::fill_n<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00    764.20     0.00        1     0.00     0.00  short* std::fill_n<short*, unsigned long, short>(short*, unsigned long, short const&)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2016 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.00% of 764.20 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]    100.0    0.00  764.19                 main [1]
              358.03  379.87       1/1           convolve(std::vector<double, std::allocator<double> >&, int, std::vector<double, std::allocator<double> >&, int, std::vector<double, std::allocator<double> >&, int) [2]
                0.00   25.91       2/2           normalize(std::vector<short, std::allocator<short> >&, std::vector<double, std::allocator<double> >&, int) [5]
                0.00    0.27       1/1           scaleDown(std::vector<double, std::allocator<double> >&) [6]
                0.00    0.09       1/1           denormalize(std::vector<double, std::allocator<double> >&, std::vector<short, std::allocator<short> >&, int) [7]
                0.00    0.01       1/1           std::vector<double, std::allocator<double> >::vector(unsigned long, std::allocator<double> const&) [18]
                0.01    0.00       1/1           writeWAV(char*, std::vector<short, std::allocator<short> > const&, WAV&, int) [15]
                0.00    0.00       3/3           std::vector<short, std::allocator<short> >::~vector() [142]
                0.00    0.00       3/3           std::vector<double, std::allocator<double> >::~vector() [141]
                0.00    0.00       2/2           std::vector<short, std::allocator<short> >::vector() [169]
                0.00    0.00       2/2           std::vector<double, std::allocator<double> >::vector() [167]
                0.00    0.00       2/2           parseFile(char*, WAV*, std::vector<short, std::allocator<short> >&, int&) [144]
                0.00    0.00       1/3           std::allocator<double>::allocator() [135]
                0.00    0.00       1/3           std::allocator<short>::allocator() [136]
                0.00    0.00       1/4           std::allocator<double>::~allocator() [129]
                0.00    0.00       1/1           std::vector<short, std::allocator<short> >::vector(unsigned long, std::allocator<short> const&) [190]
                0.00    0.00       1/4           std::allocator<short>::~allocator() [131]
-----------------------------------------------
              358.03  379.87       1/1           main [1]
[2]     96.6  358.03  379.87       1         convolve(std::vector<double, std::allocator<double> >&, int, std::vector<double, std::allocator<double> >&, int, std::vector<double, std::allocator<double> >&, int) [2]
              379.87    0.00 7884349542/7891854877     std::vector<double, std::allocator<double> >::operator[](unsigned long) [3]
-----------------------------------------------
                0.09    0.00 1876070/7891854877     denormalize(std::vector<double, std::allocator<double> >&, std::vector<short, std::allocator<short> >&, int) [7]
                0.27    0.00 5629265/7891854877     scaleDown(std::vector<double, std::allocator<double> >&) [6]
              379.87    0.00 7884349542/7891854877     convolve(std::vector<double, std::allocator<double> >&, int, std::vector<double, std::allocator<double> >&, int, std::vector<double, std::allocator<double> >&, int) [2]
[3]     49.8  380.24    0.00 7891854877         std::vector<double, std::allocator<double> >::operator[](unsigned long) [3]
-----------------------------------------------
